num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 2 , outputs=[6.115985 6.115859 6.095541 6.095528 6.107205 6.106927 6.147485 6.147245 6.078674 6.078633 6.144108 6.143869 6.147091 6.147217 6.153756 6.153671 6.080340 6.080216 6.081070 6.081290 6.140383 6.140004 6.154603 6.154518]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 2 , outputs=[12.077651 12.079771 12.141401 12.045297 12.159606 12.060666 12.134980 12.140687 12.153715 12.120186 12.110125 12.150304 12.159496 12.100081 12.055629 12.117177 12.153330 12.068909 12.136626 12.081130 12.155696 12.141676 12.157678 12.069071]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 2 , outputs=[2.062131 2.062133 2.062133 2.062133 2.062133 2.062128 2.062049 2.062109 2.062111 2.062111 2.062111 2.062111 2.058314 2.058314 2.058313 2.058350 2.058313 2.058313 2.060192 2.060192 2.060194 2.060224 2.060194 2.060194]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 2 , outputs=[3.089560 3.089517 3.089517 3.089520 3.088028 3.088031 3.088035 3.088035 3.088234 3.088259 3.088291 3.088227 3.090413 3.090385 3.090399 3.090392 3.089001 3.089001 3.089005 3.089012 3.087662 3.087772 3.087665 3.087665]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 2 , outputs=[4.113632 4.113651 4.113651 4.099622 4.099616 4.099597 4.105127 4.105089 4.105177 4.111427 4.111527 4.111521 4.115246 4.115240 4.115133 4.113777 4.113802 4.113802 4.105911 4.105805 4.105930 4.112875 4.112819 4.112800]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 3 , outputs=[6.133158 6.133312 6.143306 6.143180 6.158104 6.158161 6.142814 6.142913 6.081483 6.081304 6.093992 6.093701 6.143461 6.143461 6.161525 6.161525 6.152642 6.152515 6.136313 6.136551 6.078399 6.078426 6.113617 6.113296]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 3 , outputs=[12.138217 12.157733 12.056008 12.073305 12.069343 12.117943 12.066521 12.164786 12.139095 12.070374 12.177699 12.060287 12.170521 11.942567 12.183281 12.164069 12.140578 12.080749 12.064190 12.153605 12.155751 12.058445 12.138766 12.027648]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 3 , outputs=[2.061227 2.061227 2.061227 2.061229 2.061227 2.061214 2.061495 2.061495 2.061488 2.061488 2.061485 2.061430 2.060343 2.060355 2.060281 2.060283 2.060281 2.060281 2.058739 2.058734 2.058733 2.058731 2.058734 2.058733]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 3 , outputs=[3.087939 3.087942 3.087967 3.087946 3.090527 3.090513 3.090413 3.090509 3.087928 3.087918 3.087900 3.087907 3.083533 3.083509 3.083544 3.083516 3.090378 3.090395 3.090314 3.090367 3.061099 3.061225 3.061103 3.061106]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 3 , outputs=[4.111276 4.111276 4.111175 4.118618 4.118612 4.118586 4.111811 4.111861 4.111893 4.107646 4.107646 4.107589 4.112271 4.112182 4.112138 4.115208 4.115202 4.115133 4.111156 4.111156 4.111049 4.111477 4.111471 4.111439]
